date,commodity,price_modal
2024-08-10,Coconut,1000.0
2024-08-12,Coconut,1122.0
2024-08-13,Coconut,1059.1666666666667
2024-08-14,Coconut,917.5
2024-08-15,Coconut,1000.0
2024-08-16,Coconut,1071.0
2024-08-17,Coconut,999.0
2024-08-18,Coconut,1000.0
2024-08-19,Coconut,999.0
2024-08-20,Coconut,951.25
2024-08-21,Coconut,1072.0
2024-08-22,Coconut,998.75
2024-08-23,Coconut,1190.0
2024-08-24,Coconut,1000.0
2024-08-26,Coconut,1120.0
2024-08-27,Coconut,1330.0
2024-08-28,Coconut,1085.0
2024-08-29,Coconut,1070.8333333333333
2024-08-30,Coconut,985.0
2024-08-31,Coconut,981.25
2024-09-01,Coconut,1000.0
2024-09-02,Coconut,1060.7142857142858
2024-09-03,Coconut,1205.0
2024-09-04,Coconut,987.5
2024-09-05,Coconut,1122.5714285714287
2024-09-06,Coconut,981.25
2024-09-10,Coconut,985.0
2024-09-11,Coconut,1120.0
2024-09-12,Coconut,985.0
2024-09-13,Coconut,1060.0
2024-09-14,Coconut,1070.8333333333333
2024-09-16,Coconut,985.0
2024-09-17,Coconut,1085.0
2024-09-18,Coconut,1027.142857142857
2024-09-19,Coconut,985.0
2024-09-20,Coconut,985.0
2024-09-21,Coconut,985.0
2024-09-23,Coconut,999.0
2024-09-24,Coconut,999.1666666666666
2024-09-25,Coconut,999.1666666666666
2024-09-26,Coconut,988.3333333333334
2024-09-27,Coconut,1010.8333333333334
2024-09-28,Coconut,1077.5
2024-09-30,Coconut,999.1666666666666
2024-10-01,Coconut,935.0
2024-10-03,Coconut,1070.7142857142858
2024-10-04,Coconut,999.0
2024-10-05,Coconut,999.0
2024-10-07,Coconut,999.1666666666666
2024-10-08,Coconut,1059.0
2024-10-09,Coconut,999.0
2024-10-10,Coconut,1095.0
2024-10-11,Coconut,1122.857142857143
2024-10-12,Coconut,1190.0
2024-10-13,Coconut,1000.0
2024-10-14,Coconut,1095.0
2024-10-15,Coconut,1190.0
2024-10-16,Coconut,1113.5714285714287
2024-10-17,Coconut,1061.0
2024-10-18,Coconut,1095.0
2024-10-19,Coconut,997.5
2024-10-20,Coconut,1000.0
2024-10-21,Coconut,1081.6666666666667
2024-10-22,Coconut,985.0
2024-10-23,Coconut,1213.3333333333333
2024-10-24,Coconut,1038.0
2024-10-25,Coconut,1695.0
2024-10-26,Coconut,1065.0
2024-10-28,Coconut,985.0
2024-10-29,Coconut,1065.0
2024-10-30,Coconut,1103.3333333333333
2024-10-31,Coconut,1200.0
2024-11-01,Coconut,1220.0
2024-11-02,Coconut,1065.0
2024-11-04,Coconut,1080.0
2024-11-05,Coconut,1413.3333333333333
2024-11-06,Coconut,1430.0
2024-11-07,Coconut,1028.0
2024-11-08,Coconut,1028.0
2024-11-09,Coconut,1188.0
2024-11-11,Coconut,1443.3333333333333
2024-11-12,Coconut,1146.6666666666667
2024-11-13,Coconut,1343.3333333333333
2024-11-14,Coconut,1290.0
2024-11-15,Coconut,1066.0
2024-11-16,Coconut,1290.0
2024-11-18,Coconut,1260.0
2024-11-19,Coconut,1066.0
2024-11-20,Coconut,1265.0
2024-11-21,Coconut,1290.0
2024-11-22,Coconut,1330.0
2024-11-23,Coconut,1343.3333333333333
2024-11-25,Coconut,1400.0
2024-11-26,Coconut,1400.0
2024-11-27,Coconut,1500.0
2024-11-28,Coconut,1620.0
2024-11-29,Coconut,1480.0
2024-11-30,Coconut,1536.6666666666667
2024-12-01,Coconut,1600.0
2024-12-03,Coconut,1603.3333333333333
2024-12-04,Coconut,1770.0
2024-12-05,Coconut,1600.0
2024-12-06,Coconut,1603.3333333333333
2024-12-07,Coconut,1495.0
2024-12-08,Coconut,1600.0
2024-12-09,Coconut,1516.0
2024-12-10,Coconut,1516.0
2024-12-11,Coconut,1530.0
2024-12-12,Coconut,1495.0
2024-12-13,Coconut,1600.0
2024-12-24,Coconut,1600.0
2024-12-25,Coconut,1960.0
2024-12-26,Coconut,1544.0
2024-12-27,Coconut,1600.0
2024-12-28,Coconut,1530.0
2024-12-30,Coconut,1553.3333333333333
2024-12-31,Coconut,1407.5
2025-01-17,Coconut,1820.0
2025-01-18,Coconut,1652.5
2025-01-20,Coconut,1652.5
2025-01-21,Coconut,1820.0
2025-01-22,Coconut,1652.5
2025-01-23,Coconut,1652.5
2025-01-24,Coconut,1652.5
2025-01-25,Coconut,1652.5
2025-01-27,Coconut,1485.0
2025-01-28,Coconut,1652.5
2025-01-29,Coconut,1680.0
2025-01-30,Coconut,1485.0
2025-01-31,Coconut,1655.0
2025-02-01,Coconut,1582.5
2025-02-03,Coconut,1678.3333333333333
2025-02-04,Coconut,1617.5
2025-02-05,Coconut,1678.3333333333333
2025-02-06,Coconut,1775.0
2025-02-07,Coconut,1685.0
2025-02-08,Coconut,1685.0
2025-02-10,Coconut,1646.6666666666667
2025-02-13,Coconut,1630.0
2025-02-14,Coconut,1608.3333333333333
2025-02-15,Coconut,1630.0
2025-02-17,Coconut,1642.5
2025-02-18,Coconut,1655.0
2025-02-19,Coconut,1850.0
2025-02-21,Coconut,1665.0
2025-02-22,Coconut,1845.0
2025-02-23,Coconut,2000.0
2025-02-24,Coconut,1850.0
2025-02-25,Coconut,1900.0
2025-02-27,Coconut,1850.0
2025-02-28,Coconut,1805.0
2025-03-01,Coconut,1805.0
2025-03-03,Coconut,2025.0
2025-03-04,Coconut,1830.0
2025-03-05,Coconut,2005.0
2025-03-06,Coconut,1756.6666666666667
2025-03-07,Coconut,1807.5
2025-03-08,Coconut,1817.5
2025-03-10,Coconut,1880.0
2025-03-11,Coconut,1860.0
2025-03-12,Coconut,1847.5
2025-03-13,Coconut,2000.0
2025-03-14,Coconut,2025.0
2025-03-15,Coconut,1860.0
2025-03-17,Coconut,1888.0
2025-03-18,Coconut,1908.0
2025-03-19,Coconut,1860.0
2025-03-20,Coconut,1888.0
2025-03-21,Coconut,1848.0
2025-03-22,Coconut,1848.0
2025-03-24,Coconut,1850.0
2025-03-25,Coconut,1715.0
2025-03-26,Coconut,1950.0
2025-03-27,Coconut,1715.0
2025-03-28,Coconut,1715.0
2025-04-02,Coconut,1875.0
2025-04-03,Coconut,1800.0
2025-04-04,Coconut,1734.0
2025-04-05,Coconut,1753.3333333333333
2025-04-07,Coconut,1712.0
2025-04-08,Coconut,1960.0
2025-04-09,Coconut,1690.0
2025-04-10,Coconut,1712.0
2025-04-11,Coconut,1690.0
2025-04-14,Coconut,1730.0
2025-04-15,Coconut,1677.5
2025-04-16,Coconut,1660.0
2025-04-17,Coconut,1800.0
2025-04-18,Coconut,1700.0
2025-04-19,Coconut,1690.0
2025-04-21,Coconut,1636.6666666666667
2025-04-22,Coconut,1677.5
2025-04-23,Coconut,1730.0
2025-04-24,Coconut,1712.0
2025-04-25,Coconut,2028.0
2025-04-26,Coconut,1825.0
2025-04-28,Coconut,1690.0
2025-04-29,Coconut,1730.0
2025-05-02,Coconut,1690.0
2025-05-05,Coconut,1476.6666666666667
2025-05-06,Coconut,1588.0
2025-05-07,Coconut,1580.0
2025-05-08,Coconut,1580.0
2025-05-09,Coconut,1583.3333333333333
2025-05-10,Coconut,1583.3333333333333
2025-05-11,Coconut,1600.0
2025-05-12,Coconut,1536.0
2025-05-13,Coconut,1562.5
2025-05-14,Coconut,1566.0
2025-05-15,Coconut,1580.0
2025-05-16,Coconut,56316.666666666664
2025-05-17,Coconut,1548.0
2025-05-18,Coconut,1600.0
2025-05-19,Coconut,4176.0
2025-05-20,Coconut,1520.0
2025-05-21,Coconut,1566.0
2025-05-22,Coconut,1566.0
2025-05-23,Coconut,1520.0
2025-05-24,Coconut,1536.0
2025-05-26,Coconut,67206.0
2025-05-27,Coconut,67216.0
