date,commodity,price_modal
2024-01-02,Groundnut,9132.0
2024-01-03,Groundnut,9094.333333333334
2024-01-04,Groundnut,8592.846153846154
2024-01-05,Groundnut,8947.7
2024-01-08,Groundnut,8800.1
2024-01-09,Groundnut,9146.25
2024-01-10,Groundnut,8831.857142857143
2024-01-11,Groundnut,8925.714285714286
2024-01-12,Groundnut,8587.0
2024-01-13,Groundnut,7745.0
2024-01-18,Groundnut,8513.666666666666
2024-01-19,Groundnut,9225.4
2024-01-22,Groundnut,8634.0
2024-01-23,Groundnut,8853.454545454546
2024-01-24,Groundnut,9135.833333333334
2024-01-28,Groundnut,11000.0
2024-01-29,Groundnut,8788.846153846154
2024-01-30,Groundnut,8824.75
2024-01-31,Groundnut,8609.076923076924
2024-02-01,Groundnut,8917.8
2024-02-02,Groundnut,9489.777777777777
2024-02-03,Groundnut,7760.333333333333
2024-02-05,Groundnut,9007.666666666666
2024-02-06,Groundnut,8001.0
2024-02-07,Groundnut,9035.0
2024-02-08,Groundnut,8276.9
2024-02-09,Groundnut,8537.307692307691
2024-02-10,Groundnut,8795.5
2024-02-12,Groundnut,8694.846153846154
2024-02-13,Groundnut,8580.416666666666
2024-02-14,Groundnut,8760.90909090909
2024-02-15,Groundnut,8534.846153846154
2024-02-16,Groundnut,8964.181818181818
2024-02-17,Groundnut,9279.0
2024-02-19,Groundnut,8788.142857142857
2024-02-20,Groundnut,8515.153846153846
2024-02-21,Groundnut,8547.9
2024-02-22,Groundnut,8270.117647058823
2024-02-23,Groundnut,8556.461538461539
2024-02-24,Groundnut,6940.0
2024-02-26,Groundnut,8007.9
2024-02-27,Groundnut,8882.272727272728
2024-02-28,Groundnut,8754.636363636364
2024-02-29,Groundnut,8518.333333333334
2024-03-01,Groundnut,8626.1
2024-03-02,Groundnut,9313.0
2024-03-04,Groundnut,8281.25
2024-03-05,Groundnut,8149.2307692307695
2024-03-06,Groundnut,8410.5
2024-03-07,Groundnut,8735.333333333334
2024-03-08,Groundnut,8463.181818181818
2024-03-09,Groundnut,9734.0
2024-03-11,Groundnut,8908.363636363636
2024-03-12,Groundnut,8400.92857142857
2024-03-13,Groundnut,8788.75
2024-03-14,Groundnut,7976.363636363636
2024-03-15,Groundnut,8837.222222222223
2024-03-16,Groundnut,8289.0
2024-03-18,Groundnut,8580.727272727272
2024-03-19,Groundnut,8670.846153846154
2024-03-20,Groundnut,8629.5
2024-03-21,Groundnut,8782.727272727272
2024-03-22,Groundnut,8825.153846153846
2024-03-23,Groundnut,8800.0
2024-03-25,Groundnut,8797.92857142857
2024-03-26,Groundnut,8482.416666666666
2024-03-27,Groundnut,9335.727272727272
2024-03-28,Groundnut,8576.916666666666
2024-03-30,Groundnut,8249.0
2024-04-01,Groundnut,9191.333333333334
2024-04-02,Groundnut,9070.5
2024-04-03,Groundnut,8234.923076923076
2024-04-04,Groundnut,8360.466666666667
2024-04-05,Groundnut,8123.7692307692305
2024-04-06,Groundnut,7105.0
2024-04-07,Groundnut,7170.0
2024-04-08,Groundnut,8135.727272727273
2024-04-09,Groundnut,7530.0
2024-04-10,Groundnut,8375.0
2024-04-12,Groundnut,8956.545454545454
2024-04-15,Groundnut,8204.333333333334
2024-04-16,Groundnut,8425.083333333334
2024-04-17,Groundnut,8164.875
2024-04-18,Groundnut,8221.714285714286
2024-04-20,Groundnut,7370.0
2024-04-22,Groundnut,8272.941176470587
2024-04-23,Groundnut,8589.8
2024-04-24,Groundnut,8353.611111111111
2024-04-25,Groundnut,8269.588235294117
2024-04-26,Groundnut,7933.35294117647
2024-04-27,Groundnut,6740.0
2024-04-29,Groundnut,8503.92857142857
2024-04-30,Groundnut,9035.7
2024-05-01,Groundnut,7295.0
2024-05-02,Groundnut,8420.07142857143
