date,commodity,price_modal
2024-08-09,Paddy(Dhan)(Common),1936.642857142857
2024-08-11,Paddy(Dhan)(Common),2033.0
2024-08-12,Paddy(Dhan)(Common),1992.8695652173913
2024-08-13,Paddy(Dhan)(Common),1932.25
2024-08-14,Paddy(Dhan)(Common),1951.1666666666667
2024-08-16,Paddy(Dhan)(Common),1995.6153846153845
2024-08-17,Paddy(Dhan)(Common),2357.0
2024-08-19,Paddy(Dhan)(Common),2020.7222222222222
2024-08-20,Paddy(Dhan)(Common),1938.6315789473683
2024-08-21,Paddy(Dhan)(Common),2007.28
2024-08-22,Paddy(Dhan)(Common),2248.0384615384614
2024-08-23,Paddy(Dhan)(Common),1956.2857142857142
2024-08-26,Paddy(Dhan)(Common),2033.0
2024-08-27,Paddy(Dhan)(Common),2200.6111111111113
2024-08-28,Paddy(Dhan)(Common),2119.1304347826085
2024-08-29,Paddy(Dhan)(Common),2216.2105263157896
2024-08-30,Paddy(Dhan)(Common),2066.0
2024-09-02,Paddy(Dhan)(Common),2033.3636363636363
2024-09-03,Paddy(Dhan)(Common),2168.5789473684213
2024-09-04,Paddy(Dhan)(Common),2056.764705882353
2024-09-05,Paddy(Dhan)(Common),2199.6190476190477
2024-09-06,Paddy(Dhan)(Common),2059.9473684210525
2024-09-08,Paddy(Dhan)(Common),2060.0
2024-09-09,Paddy(Dhan)(Common),2081.375
2024-09-10,Paddy(Dhan)(Common),2054.866666666667
2024-09-11,Paddy(Dhan)(Common),2209.4117647058824
2024-09-12,Paddy(Dhan)(Common),2059.9473684210525
2024-09-13,Paddy(Dhan)(Common),2131.846153846154
2024-09-15,Paddy(Dhan)(Common),2060.0
2024-09-16,Paddy(Dhan)(Common),2370.0588235294117
2024-09-17,Paddy(Dhan)(Common),2060.0
2024-09-18,Paddy(Dhan)(Common),2052.05
2024-09-19,Paddy(Dhan)(Common),2189.2380952380954
2024-09-20,Paddy(Dhan)(Common),2434.0526315789475
2024-09-22,Paddy(Dhan)(Common),2060.0
2024-09-23,Paddy(Dhan)(Common),2091.125
2024-09-24,Paddy(Dhan)(Common),2245.5
2024-09-25,Paddy(Dhan)(Common),2270.176470588235
2024-09-26,Paddy(Dhan)(Common),2192.5625
2024-09-27,Paddy(Dhan)(Common),2323.2916666666665
2024-09-30,Paddy(Dhan)(Common),2180.0
2024-10-01,Paddy(Dhan)(Common),2288.5
2024-10-02,Paddy(Dhan)(Common),2060.0
2024-10-03,Paddy(Dhan)(Common),2148.6
2024-10-04,Paddy(Dhan)(Common),2159.9333333333334
2024-10-06,Paddy(Dhan)(Common),2060.0
2024-10-07,Paddy(Dhan)(Common),2198.3333333333335
2024-10-08,Paddy(Dhan)(Common),2154.222222222222
2024-10-09,Paddy(Dhan)(Common),2219.0555555555557
