month,commodity,price_modal
2024-08-01,Coconut,1047.5875
2024-09-01,Coconut,1029.299107142857
2024-10-01,Coconut,1087.576530612245
2024-11-01,Coconut,1289.3333333333333
2024-12-01,Coconut,1585.4473684210527
2025-01-01,Coconut,1654.8076923076924
2025-02-01,Coconut,1727.579365079365
2025-03-01,Coconut,1862.673611111111
2025-04-01,Coconut,1748.391304347826
2025-05-01,Coconut,17443.277777777777
2025-06-01,Coconut,42238.71904761905
2025-07-01,Coconut,48843.75297619047
2025-08-01,Coconut,27345.269420141434
2025-09-01,Coconut,8722.213285232408
2025-10-01,Coconut,6182.681895479976
