month,commodity,price_modal
2022-01-01,Green Gram Dal (Moong Dal),9058.63768115942
2022-02-01,Green Gram Dal (Moong Dal),8932.246376811594
2022-03-01,Green Gram Dal (Moong Dal),9061.31
2022-04-01,Green Gram Dal (Moong Dal),9412.034722222223
2022-05-01,Green Gram Dal (Moong Dal),8931.055555555557
2022-06-01,Green Gram Dal (Moong Dal),9049.2
2022-07-01,Green Gram Dal (Moong Dal),8749.520833333334
2022-08-01,Green Gram Dal (Moong Dal),9107.133333333333
2022-09-01,Green Gram Dal (Moong Dal),9128.819444444443
2022-10-01,Green Gram Dal (Moong Dal),9282.065217391304
2022-11-01,Green Gram Dal (Moong Dal),9396.376811594202
2022-12-01,Green Gram Dal (Moong Dal),9466.02564102564
2023-01-01,Green Gram Dal (Moong Dal),9796.314102564102
2023-02-01,Green Gram Dal (Moong Dal),10124.242424242424
2023-03-01,Green Gram Dal (Moong Dal),10083.680555555557
2023-04-01,Green Gram Dal (Moong Dal),10537.809523809523
2023-05-01,Green Gram Dal (Moong Dal),10674.888888888889
2023-06-01,Green Gram Dal (Moong Dal),10398.833333333334
2023-07-01,Green Gram Dal (Moong Dal),10733.775362318842
2023-08-01,Green Gram Dal (Moong Dal),10738.6
2023-09-01,Green Gram Dal (Moong Dal),10951.469696969698
2023-10-01,Green Gram Dal (Moong Dal),11543.650793650793
2023-11-01,Green Gram Dal (Moong Dal),11012.858333333334
2023-12-01,Green Gram Dal (Moong Dal),10848.242753623188
2024-01-01,Green Gram Dal (Moong Dal),10768.333333333332
2024-02-01,Green Gram Dal (Moong Dal),11135.416666666666
2024-03-01,Green Gram Dal (Moong Dal),11446.875
2024-04-01,Green Gram Dal (Moong Dal),11423.888888888889
2024-05-01,Green Gram Dal (Moong Dal),10805.986666666668
2024-06-01,Green Gram Dal (Moong Dal),10834.5
2024-07-01,Green Gram Dal (Moong Dal),10909.444444444443
2024-08-01,Green Gram Dal (Moong Dal),10283.757575757576
2024-09-01,Green Gram Dal (Moong Dal),10610.859848484848
2024-10-01,Green Gram Dal (Moong Dal),10619.63768115942
2024-11-01,Green Gram Dal (Moong Dal),10448.947368421053
2024-12-01,Green Gram Dal (Moong Dal),10599.242424242424
2025-01-01,Green Gram Dal (Moong Dal),10346.376811594202
2025-02-01,Green Gram Dal (Moong Dal),10119.583333333332
2025-03-01,Green Gram Dal (Moong Dal),10435.526315789473
2025-04-01,Green Gram Dal (Moong Dal),10131.078947368422
2025-05-01,Green Gram Dal (Moong Dal),10248.541666666666
2025-06-01,Green Gram Dal (Moong Dal),10099.978260869566
2025-07-01,Green Gram Dal (Moong Dal),9728.58
2025-08-01,Green Gram Dal (Moong Dal),10118.181818181818
2025-09-01,Green Gram Dal (Moong Dal),9907.238095238095
2025-10-01,Green Gram Dal (Moong Dal),10113.138888888889
