month,commodity,price_modal
2024-01-01,Groundnut,8915.148870427818
2024-02-01,Groundnut,8576.656146663792
2024-03-01,Groundnut,8665.766708402709
2024-04-01,Groundnut,8180.758042617785
2024-05-01,Groundnut,8153.764807427867
2024-06-01,Groundnut,8276.337053985704
2024-07-01,Groundnut,6836.474042322373
2024-08-01,Groundnut,6560.271468655134
2024-09-01,Groundnut,6301.248927329372
2024-10-01,Groundnut,5948.925409733549
2024-11-01,Groundnut,6103.200466902511
2024-12-01,Groundnut,6327.409160893809
2025-01-01,Groundnut,6611.214085419738
2025-02-01,Groundnut,6595.022568349981
2025-03-01,Groundnut,6372.819315293112
2025-04-01,Groundnut,6364.566514980859
2025-05-01,Groundnut,6524.011369236957
2025-06-01,Groundnut,6517.360950861891
2025-07-01,Groundnut,6541.281413820836
2025-08-01,Groundnut,6454.519892240438
2025-09-01,Groundnut,6160.80824054143
2025-10-01,Groundnut,6037.123977316219
