month,commodity,price_modal
2024-08-01,Maize,2814.748328680217
2024-09-01,Maize,2796.2534441158837
2024-10-01,Maize,2789.421676021851
2024-11-01,Maize,2805.7970167584567
2024-12-01,Maize,2842.1944699972432
2025-01-01,Maize,2894.957690101381
2025-02-01,Maize,2904.160447373816
2025-03-01,Maize,2774.5464215623037
2025-04-01,Maize,2754.1329097448674
2025-05-01,Maize,2779.920951111642
2025-06-01,Maize,2888.8724084379332
2025-07-01,Maize,2867.7489262586396
2025-08-01,Maize,2911.320499243058
2025-09-01,Maize,2827.32885775115
2025-10-01,Maize,2843.889167146258
