month,commodity,price_modal
2024-08-01,Onion,5105.919402390738
2024-09-01,Onion,5929.616604344217
2024-10-01,Onion,5991.880513572908
2024-11-01,Onion,6651.913822915056
2024-12-01,Onion,6132.87917459604
2025-01-01,Onion,4825.0259786416345
2025-02-01,Onion,4584.928988505513
2025-03-01,Onion,3813.503000091897
2025-04-01,Onion,3092.5102313687507
2025-05-01,Onion,2837.2950756592472
2025-06-01,Onion,3126.9283653477496
2025-07-01,Onion,3148.5379177626764
2025-08-01,Onion,3097.6768088719855
2025-09-01,Onion,2974.6195793735496
2025-10-01,Onion,2904.0011451573882
