month,commodity,price_modal
2024-08-01,Paddy(Dhan)(Common),2059.0855601673866
2024-09-01,Paddy(Dhan)(Common),2151.823993620651
2024-10-01,Paddy(Dhan)(Common),2193.853494711307
2024-11-01,Paddy(Dhan)(Common),2109.428365687343
2024-12-01,Paddy(Dhan)(Common),2089.1626070226066
2025-01-01,Paddy(Dhan)(Common),2065.7515432681917
2025-02-01,Paddy(Dhan)(Common),2112.6983270788287
2025-03-01,Paddy(Dhan)(Common),2120.0068217220605
2025-04-01,Paddy(Dhan)(Common),2078.918385553814
2025-05-01,Paddy(Dhan)(Common),1946.2597658480536
2025-06-01,Paddy(Dhan)(Common),2021.9306199000227
2025-07-01,Paddy(Dhan)(Common),2044.0472614927387
2025-08-01,Paddy(Dhan)(Common),2060.671820731026
2025-09-01,Paddy(Dhan)(Common),1965.315365153573
2025-10-01,Paddy(Dhan)(Common),2073.4714528037866
