month,commodity,price_modal
2024-01-01,Sugarcane,263.9166666666667
2024-02-01,Sugarcane,323.2083333333333
2024-03-01,Sugarcane,325.7037037037037
2024-04-01,Sugarcane,328.05555555555554
2024-05-01,Sugarcane,292.5
2024-06-01,Sugarcane,320.0
2024-07-01,Sugarcane,301.6666666666667
2024-09-01,Sugarcane,300.0
2024-11-01,Sugarcane,350.0
2024-12-01,Sugarcane,322.0
2025-01-01,Sugarcane,340.66666666666663
2025-02-01,Sugarcane,323.88888888888886
2025-03-01,Sugarcane,313.9
2025-04-01,Sugarcane,333.92857142857144
2025-05-01,Sugarcane,338.8070175438596
2025-06-01,Sugarcane,346.25
2025-07-01,Sugarcane,291.6666666666667
2025-08-01,Sugarcane,303.6363636363636
2025-09-01,Sugarcane,316.0
2025-10-01,Sugarcane,344.5238095238095
