month,commodity,price_modal
2024-08-01,Tomato,2447.6760144168784
2024-09-01,Tomato,3201.9734392939135
2024-10-01,Tomato,5277.829730988546
2024-11-01,Tomato,3526.618976321824
2024-12-01,Tomato,3770.357482361166
2025-01-01,Tomato,2145.4880176024744
2025-02-01,Tomato,2174.7323576263784
2025-03-01,Tomato,1515.8341861430195
2025-04-01,Tomato,1742.326564755015
2025-05-01,Tomato,1614.7331171540166
2025-06-01,Tomato,2273.3405177596615
2025-07-01,Tomato,3486.965259665637
2025-08-01,Tomato,4368.691859595144
2025-09-01,Tomato,2599.401322142236
2025-10-01,Tomato,2846.9008433495515
