month,commodity,price_modal
2024-01-01,Arhar Dal (Tur Dal),13500.0
2024-02-01,Arhar Dal (Tur Dal),14334.782608695652
2024-03-01,Arhar Dal (Tur Dal),14671.42857142857
2024-04-01,Arhar Dal (Tur Dal),14500.0
2024-05-01,Arhar Dal (Tur Dal),14500.0
2024-06-01,Arhar Dal (Tur Dal),14500.0
2024-07-01,Arhar Dal (Tur Dal),14500.0
2024-08-01,Arhar Dal (Tur Dal),14176.470588235294
2024-09-01,Arhar Dal (Tur Dal),14904.761904761905
2024-10-01,Arhar Dal (Tur Dal),14666.666666666666
2024-11-01,Arhar Dal (Tur Dal),12850.0
2024-12-01,Arhar Dal (Tur Dal),12000.0
2025-01-01,Arhar Dal (Tur Dal),12000.0
2025-02-01,Arhar Dal (Tur Dal),11912.5
2025-03-01,Arhar Dal (Tur Dal),12000.0
2025-04-01,Arhar Dal (Tur Dal),12000.0
2025-05-01,Arhar Dal (Tur Dal),11454.545454545454
2025-06-01,Arhar Dal (Tur Dal),9000.0
2025-07-01,Arhar Dal (Tur Dal),9077.272727272728
2025-08-01,Arhar Dal (Tur Dal),10700.0
2025-09-01,Arhar Dal (Tur Dal),10700.0
2025-10-01,Arhar Dal (Tur Dal),10544.117647058823
