Commodity,ds,y
Onion,2023-06-06,1334.7673456790124
Onion,2023-06-07,1383.3445647558387
Onion,2023-06-08,1406.4238592750535
Onion,2023-06-09,1353.3299130434782
Onion,2023-06-10,1291.6751338199513
Onion,2023-06-11,1277.9927797833934
Onion,2023-06-12,1401.295294117647
Onion,2023-06-13,1399.1126624737944
Onion,2023-06-14,1471.581871227364
Onion,2023-06-15,1396.9761269146607
Onion,2023-06-16,1444.644696969697
Onion,2023-06-17,1422.919013452915
Onion,2023-06-18,1418.0518518518518
Onion,2023-06-19,1430.6451037344398
Onion,2023-06-20,1484.505649484536
Onion,2023-06-21,1436.6906722689075
Onion,2023-06-22,1455.5889552238805
Onion,2023-06-23,1399.7793805309734
Onion,2023-06-24,1471.3918202764978
Onion,2023-06-25,1404.954372623574
Onion,2023-06-26,1443.5355268817204
Onion,2023-06-27,1481.532798264642
Onion,2023-06-28,1454.5976958525346
Onion,2023-06-29,1583.3815479876162
Onion,2023-06-30,1585.851354401806
Onion,2023-07-01,1624.0592512077296
Onion,2023-07-02,1570.853046594982
Onion,2023-07-03,1659.6822246696036
Onion,2023-07-04,1692.6590658174098
Onion,2023-07-05,1696.1523529411766
Onion,2023-07-06,1751.108350730689
Onion,2023-07-07,1747.1727064220186
Onion,2023-07-08,1724.7836411609499
Onion,2023-07-09,1631.3091603053435
Onion,2023-07-10,1668.9130537634408
Onion,2023-07-11,1600.823311546841
Onion,2023-07-12,1590.4974509803922
Onion,2023-07-13,1639.3143496801706
Onion,2023-07-14,1668.272062780269
Onion,2023-07-15,1692.895238095238
Onion,2023-07-16,1689.0
Onion,2023-07-17,1656.8435476190477
Onion,2023-07-18,1657.961247311828
Onion,2023-07-19,1682.3962391304349
Onion,2023-07-20,1657.0463675213675
Onion,2023-07-21,1751.9182736842106
Onion,2023-07-22,1629.4248955916473
Onion,2023-07-23,1643.0071942446043
Onion,2023-07-24,1686.648497942387
Onion,2023-07-25,1625.774806866953
Onion,2023-07-26,1668.8247222222221
Onion,2023-07-27,1668.6053200883002
Onion,2023-07-28,1696.3854965357968
Onion,2023-07-29,1736.7988165680474
Onion,2023-07-30,1712.2265625
Onion,2023-07-31,1739.7255555555555
Onion,2023-08-01,1786.4491666666665
Onion,2023-08-02,1728.0207581967213
Onion,2023-08-03,1768.7061884368309
Onion,2023-08-04,1735.6442032332561
Onion,2023-08-05,1748.4906542056074
Onion,2023-08-06,1817.2090163934427
Onion,2023-08-07,1843.7242176870748
Onion,2023-08-08,1892.8573493975903
Onion,2023-08-09,1970.3383975659228
Onion,2023-08-10,1984.8522245762713
Onion,2023-08-11,1986.7656745182012
Onion,2023-08-12,1916.9323308270677
Onion,2023-08-13,1950.3992805755395
Onion,2023-08-14,2102.630979498861
Onion,2023-08-15,2188.1174089068827
Onion,2023-08-16,2212.634666666667
Onion,2023-08-17,2101.277757437071
Onion,2023-08-18,2146.3810526315788
Onion,2023-08-19,2207.2703349282297
Onion,2023-08-20,2125.5060240963853
Onion,2023-08-21,2320.952914798206
Onion,2023-08-22,2294.044150110375
Onion,2023-08-23,2313.496629213483
Onion,2023-08-24,2252.554666666667
Onion,2023-08-25,2338.4375
Onion,2023-08-26,2276.767816091954
Onion,2023-08-27,2219.032520325203
Onion,2023-08-28,2248.0185185185187
Onion,2023-08-29,2189.931818181818
Onion,2023-08-30,2215.4373259052923
Onion,2023-08-31,2226.40404040404
Onion,2023-09-01,2274.5622222222223
Onion,2023-09-02,2230.067599067599
Onion,2023-09-03,2169.1111111111113
Onion,2023-09-04,2320.288209606987
Onion,2023-09-05,2312.2703050108935
Onion,2023-09-06,2262.4031007751937
Onion,2023-09-07,2322.058184210526
Onion,2023-09-08,2265.4177215189875
Onion,2023-09-09,2258.176470588235
Onion,2023-09-10,2161.003546099291
Onion,2023-09-11,2334.993670886076
Onion,2023-09-12,2307.778021978022
Onion,2023-09-13,2289.4282511210763
Onion,2023-09-14,2259.14192139738
Onion,2023-09-15,2233.3464730290457
Onion,2023-09-16,2255.740318906606
Onion,2023-09-17,2236.948818897638
Onion,2023-09-18,2298.495070754717
Onion,2023-09-19,2336.296836982968
Onion,2023-09-20,2303.807962529274
Onion,2023-09-21,2280.6848072562357
Onion,2023-09-22,2185.2052401746723
Onion,2023-09-23,2212.742105263158
Onion,2023-09-24,2136.0599078341015
Onion,2023-09-25,2326.830275229358
Onion,2023-09-26,2348.0022371364653
Onion,2023-09-27,2359.4877450980393
Onion,2023-09-28,2374.732782369146
Onion,2023-09-29,2371.2548076923076
Onion,2023-09-30,2303.8128491620114
Onion,2023-10-01,2262.5243243243244
Onion,2023-10-02,2270.376146788991
Onion,2023-10-03,2327.539278131635
Onion,2023-10-04,2355.724358974359
Onion,2023-10-05,2350.039748953975
Onion,2023-10-06,2321.447092050209
Onion,2023-10-07,2393.8315550755938
Onion,2023-10-08,2248.7148288973385
Onion,2023-10-09,2409.752461873638
Onion,2023-10-10,2353.7880085653105
Onion,2023-10-11,2455.1673640167364
Onion,2023-10-12,2418.454841437632
Onion,2023-10-13,2440.1158129175947
Onion,2023-10-14,2454.7277777777776
Onion,2023-10-15,2423.532786885246
Onion,2023-10-16,2530.7605183585315
Onion,2023-10-17,2543.503813559322
Onion,2023-10-18,2635.364852320675
Onion,2023-10-19,2723.2932700421943
Onion,2023-10-20,2717.0645356371488
Onion,2023-10-21,2738.409200968523
Onion,2023-10-22,2602.222222222222
Onion,2023-10-23,3016.469090909091
Onion,2023-10-24,2986.3803021148037
Onion,2023-10-25,3160.8467808219175
Onion,2023-10-26,3268.18907079646
Onion,2023-10-27,3723.91
Onion,2023-10-28,3771.5729166666665
Onion,2023-10-29,3979.6561264822135
Onion,2023-10-30,4180.4807294117645
Onion,2023-10-31,4418.367237851663
Onion,2023-11-01,4343.7124873096445
Onion,2023-11-02,4332.898454746137
Onion,2023-11-03,4198.814345991561
Onion,2023-11-04,4209.318944844124
Onion,2023-11-05,4035.0439024390244
Onion,2023-11-06,4088.387121212121
Onion,2023-11-07,4016.2720556745185
Onion,2023-11-08,4165.138228941684
Onion,2023-11-09,5127.554054054054
Onion,2023-11-10,4122.719895287958
Onion,2023-11-11,4248.0421455938695
Onion,2023-11-12,4077.027972027972
Onion,2023-11-13,4470.883116883117
Onion,2023-11-14,4452.937888198758
Onion,2023-11-15,4174.994285714286
Onion,2023-11-16,4172.197969543147
Onion,2023-11-17,4083.8219512195124
Onion,2023-11-18,4043.4660194174758
Onion,2023-11-19,3953.076923076923
Onion,2023-11-20,3951.523620689655
Onion,2023-11-21,3990.066470588235
Onion,2023-11-22,3902.4750836820085
Onion,2023-11-23,3869.0008262711863
Onion,2023-11-24,3847.6114790286974
Onion,2023-11-25,3909.750677506775
Onion,2023-11-26,3761.891025641026
Onion,2023-11-27,3842.9166666666665
Onion,2023-11-28,3909.901744680851
Onion,2023-11-29,3935.7346304347825
Onion,2023-11-30,3874.297710280374
Onion,2023-12-01,3970.1045576407505
Onion,2023-12-02,3905.2455696202533
Onion,2023-12-03,3770.640909090909
Onion,2023-12-04,3863.652977412731
Onion,2023-12-05,3786.8337078651684
Onion,2023-12-06,3803.8417582417583
Onion,2023-12-07,3777.0934959349593
Onion,2023-12-08,3695.693446088795
Onion,2023-12-09,3586.8582887700536
Onion,2023-12-10,3577.8353413654618
Onion,2023-12-11,3452.128260869565
Onion,2023-12-12,3335.592017738359
Onion,2023-12-13,3247.7130620985013
Onion,2023-12-14,3235.9135021097045
Onion,2023-12-15,3125.649377593361
Onion,2023-12-16,3049.948051948052
Onion,2023-12-17,2858.5603112840467
Onion,2023-12-18,2779.61974789916
Onion,2023-12-19,3540.9856262833678
Onion,2023-12-20,2763.169014084507
Onion,2023-12-21,2666.8164556962024
Onion,2023-12-22,2574.8297872340427
Onion,2023-12-23,2614.4367816091954
Onion,2023-12-24,3059.7671232876714
Onion,2023-12-25,2784.8137931034485
Onion,2023-12-26,2446.765375854214
Onion,2023-12-27,2534.4004376367616
Onion,2023-12-28,2414.4893617021276
Onion,2023-12-29,2343.961038961039
Onion,2023-12-30,2283.4634146341464
Onion,2023-12-31,2271.989247311828
Onion,2024-01-01,2171.5398457583547
Onion,2024-01-02,2274.566909975669
Onion,2024-01-03,2466.2056074766356
Onion,2024-01-04,2372.190371991247
Onion,2024-01-05,2341.9076923076923
Onion,2024-01-06,2369.7466063348415
Onion,2024-01-07,2395.8425925925926
Onion,2024-01-08,2360.512249443207
Onion,2024-01-09,2278.6742081447965
Onion,2024-01-10,2324.915717539863
Onion,2024-01-11,2393.4586288416076
Onion,2024-01-12,2352.9151376146788
Onion,2024-01-13,2366.8691860465115
Onion,2024-01-14,2507.317073170732
Onion,2024-01-15,2437.8403141361255
Onion,2024-01-16,2331.5334928229663
