State,District,Market,Commodity,Variety,Arrival_Date,Modal_x0020_Price
Andhra Pradesh,Chittor,Kalikiri,Tomato,Hybrid,2025-06-11,1700.0
Andhra Pradesh,Chittor,Mulakalacheruvu,Tomato,Local,2025-06-11,2000.0
Andhra Pradesh,Chittor,Punganur,Tomato,Hybrid,2025-06-11,1600.0
Andhra Pradesh,Chittor,Tirupati,Banana,Bhushavali(Pacha),2025-06-11,8500.0
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,2025-06-11,1100.0
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,2025-06-11,1600.0
Gujarat,Amreli,Damnagar,Tomato,Local,2025-06-11,4200.0
Gujarat,Bharuch,Bharuch,Onion,Other,2025-06-11,1300.0
Gujarat,Bharuch,Bharuch,Tomato,Other,2025-06-11,1500.0
Gujarat,Bharuch,Jambusar,Maize,Other,2025-06-11,2200.0
Gujarat,Bharuch,Jambusar(Kaavi),Maize,Other,2025-06-11,2100.0
Gujarat,Chhota Udaipur,Bodeliu,Maize,Deshi Red,2025-06-11,2140.0
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Tomato,Other,2025-06-11,1000.0
Gujarat,Rajkot,Dhoraji,Groundnut,Local,2025-06-11,5255.0
Gujarat,Sabarkantha,Modasa,Groundnut,Local,2025-06-11,6570.0
Gujarat,Sabarkantha,Modasa,Maize,Hybrid Red (Cattle Feed),2025-06-11,2255.0
Gujarat,Sabarkantha,Modasa(Tintoi),Groundnut,Local,2025-06-11,6475.0
Gujarat,Sabarkantha,Modasa(Tintoi),Maize,Hybrid Red (Cattle Feed),2025-06-11,2150.0
Gujarat,Surat,Surat,Onion,Other,2025-06-11,1475.0
Gujarat,Surat,Surat,Tomato,Other,2025-06-11,1750.0
Haryana,Ambala,Ambala Cantt.,Banana,Other,2025-06-11,2200.0
Haryana,Gurgaon,Gurgaon,Banana,Other,2025-06-11,2500.0
Haryana,Gurgaon,Gurgaon,Onion,Other,2025-06-11,1250.0
Haryana,Gurgaon,Gurgaon,Tomato,Other,2025-06-11,1500.0
Haryana,Gurgaon,Pataudi,Onion,Other,2025-06-11,1200.0
Haryana,Gurgaon,Pataudi,Tomato,Other,2025-06-11,2800.0
Haryana,Hissar,Barwala(Hisar),Banana,Other,2025-06-11,4000.0
Haryana,Hissar,Barwala(Hisar),Onion,Other,2025-06-11,1700.0
Haryana,Hissar,Barwala(Hisar),Tomato,Other,2025-06-11,2100.0
Haryana,Hissar,Uklana,Onion,Onion,2025-06-11,1400.0
Haryana,Hissar,Uklana,Tomato,Other,2025-06-11,1800.0
Haryana,Kurukshetra,Pehowa,Tomato,Other,2025-06-11,1600.0
