t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2025-10-30","Coconut","10255","Tiruvallur(Uzhavar Sandhai )","33","Tamil Nadu","602","Thiruvallur","Coconut","6000","6000","6000"
"2025-10-30","Coconut","10326","Kangayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Coconut","6500","7000","7000"
"2025-10-30","Coconut","10325","Dharapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Coconut","6500","7000","7000"
"2025-10-30","Coconut","10324","Tiruppur (South) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Coconut","6000","6500","6500"
"2025-10-30","Coconut","10323","Tiruppur (North) (Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Coconut","6500","7000","7000"
"2025-10-30","Coconut","10321","Palladam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Coconut","6500","6800","6800"
"2025-10-30","Coconut","10153","Sundarapuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Coconut","7200","7500","7500"
"2025-10-30","Coconut","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Coconut","7000","7500","7500"
"2025-10-30","Coconut","10151","Sulur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Coconut","7000","7400","7400"
"2025-10-30","Coconut","10150","Kurichi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Coconut","7200","7500","7500"
"2025-10-30","Coconut","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Coconut","7000","7600","7600"
"2025-10-30","Coconut","10148","Pollachi(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Coconut","7000","7600","7600"
"2025-10-30","Coconut","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Coconut","7000","7500","7500"
"2025-10-30","Coconut","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Coconut","7000","7400","7400"
"2025-10-30","Coconut","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Coconut","7000","7500","7500"
"2025-10-30","Coconut","10189","Avallapalli(Uzhavar Sandhai )","33","Tamil Nadu","631","Krishnagiri","Coconut","7000","8000","8000"
"2025-10-30","Coconut","10188","Denkanikottai(Uzhavar Sandhai )","33","Tamil Nadu","631","Krishnagiri","Coconut","7000","8000","8000"
"2025-10-30","Coconut","10187","Kaveripattinam(Uzhavar Sandhai )","33","Tamil Nadu","631","Krishnagiri","Coconut","5000","6000","6000"
"2025-10-30","Coconut","10186","Krishnagiri(Uzhavar Sandhai )","33","Tamil Nadu","631","Krishnagiri","Coconut","7000","8000","8000"
"2025-10-30","Coconut","10185","Hosur(Uzhavar Sandhai )","33","Tamil Nadu","631","Krishnagiri","Coconut","7500","8000","8000"
"2025-10-30","Coconut","10163","AJattihalli(Uzhavar Sandhai )","33","Tamil Nadu","630","Dharmapuri","Coconut","9000","9200","9200"
"2025-10-30","Coconut","10162","Harur(Uzhavar Sandhai )","33","Tamil Nadu","630","Dharmapuri","Coconut","8800","9000","9000"
"2025-10-30","Coconut","10161","Palacode(Uzhavar Sandhai )","33","Tamil Nadu","630","Dharmapuri","Coconut","8500","9000","9000"
"2025-10-30","Coconut","10160","Pennagaram(Uzhavar Sandhai )","33","Tamil Nadu","630","Dharmapuri","Coconut","6800","7000","7000"
"2025-10-30","Coconut","10159","Dharmapuri(Uzhavar Sandhai )","33","Tamil Nadu","630","Dharmapuri","Coconut","9800","10200","10200"
"2025-10-30","Coconut","10301","Myladi(Uzhavar Sandhai )","33","Tamil Nadu","629","Kanniyakumari","Coconut","6800","7000","7000"
"2025-10-30","Coconut","708","Vadaseri","33","Tamil Nadu","629","Kanniyakumari","Coconut","6500","7000","7000"
"2025-10-30","Coconut","10317","Tenkasi(Uzhavar Sandhai )","33","Tamil Nadu","628","Tirunelveli","Coconut","7200","7200","7200"
"2025-10-30","Coconut","10316","Sankarankoil(Uzhavar Sandhai )","33","Tamil Nadu","628","Tirunelveli","Coconut","7000","7000","7000"
"2025-10-30","Coconut","10253","NGO Colony(Uzhavar Sandhai )","33","Tamil Nadu","628","Tirunelveli","Coconut","7300","7500","7500"
"2025-10-30","Coconut","10251","Melapalayam(Uzhavar Sandhai )","33","Tamil Nadu","628","Tirunelveli","Coconut","7300","7500","7500"
"2025-10-30","Coconut","10249","Palayamkottai(Uzhavar Sandhai )","33","Tamil Nadu","628","Tirunelveli","Coconut","7200","7500","7500"
"2025-10-30","Coconut","10268","Kovilpatti(Uzhavar Sandhai )","33","Tamil Nadu","627","Thoothukkudi","Coconut","7000","7500","7500"
"2025-10-30","Coconut","10267","Tuticorin(Uzhavar Sandhai )","33","Tamil Nadu","627","Thoothukkudi","Coconut","6500","7000","7000"
"2025-10-30","Coconut","10219","Paramakudi(Uzhavar Sandhai )","33","Tamil Nadu","626","Ramanathapuram","Coconut","7000","7500","7500"
"2025-10-30","Coconut","10218","Ramanathapuram(Uzhavar Sandhai )","33","Tamil Nadu","626","Ramanathapuram","Coconut","7000","7200","7200"
"2025-10-30","Coconut","10299","Thalavaipuram(Uzhavar Sandhai )","33","Tamil Nadu","625","Virudhunagar","Coconut","6000","7300","7300"
"2025-10-30","Coconut","10298","Kariyapatti(Uzhavar Sandhai )","33","Tamil Nadu","625","Virudhunagar","Coconut","6500","7000","7000"
"2025-10-30","Coconut","10297","Sathur(Uzhavar Sandhai )","33","Tamil Nadu","625","Virudhunagar","Coconut","6000","7000","7000"
"2025-10-30","Coconut","10296","Sivakasi(Uzhavar Sandhai )","33","Tamil Nadu","625","Virudhunagar","Coconut","6000","7000","7000"
"2025-10-30","Coconut","10295","Virudhunagar(Uzhavar Sandhai )","33","Tamil Nadu","625","Virudhunagar","Coconut","6500","7000","7000"
"2025-10-30","Coconut","10294","Srivilliputhur(Uzhavar Sandhai )","33","Tamil Nadu","625","Virudhunagar","Coconut","6500","7000","7000"
"2025-10-30","Coconut","10293","Rajapalayam(Uzhavar Sandhai )","33","Tamil Nadu","625","Virudhunagar","Coconut","6700","7300","7300"
"2025-10-30","Coconut","10292","Aruppukottai(Uzhavar Sandhai )","33","Tamil Nadu","625","Virudhunagar","Coconut","6500","7000","7000"
"2025-10-30","Coconut","10248","Chinnamanur(Uzhavar Sandhai )","33","Tamil Nadu","624","Theni","Coconut","7500","7500","7500"
"2025-10-30","Coconut","10247","Andipatti(Uzhavar Sandhai )","33","Tamil Nadu","624","Theni","Coconut","6000","7200","7200"
"2025-10-30","Coconut","10246","Devaram(Uzhavar Sandhai )","33","Tamil Nadu","624","Theni","Coconut","7200","7200","7200"
"2025-10-30","Coconut","10245","Periyakulam(Uzhavar Sandhai )","33","Tamil Nadu","624","Theni","Coconut","7000","7200","7200"
"2025-10-30","Coconut","10244","Bodinayakanur(Uzhavar Sandhai )","33","Tamil Nadu","624","Theni","Coconut","7200","7400","7400"
