t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2024-06-06","Green Gram Dal (Moong Dal)","1359","Tindivanam","33","Tamil Nadu","607","Viluppuram","Green Gram Dal","8800","9562","9499"
"2024-05-30","Green Gram Dal (Moong Dal)","3613","Nagapattinam","33","Tamil Nadu","618","Nagapattinam","Green Gram Dal","8000","8558","8558"
"2024-05-29","Green Gram Dal (Moong Dal)","1359","Tindivanam","33","Tamil Nadu","607","Viluppuram","Green Gram Dal","5500","5500","5500"
"2024-05-27","Green Gram Dal (Moong Dal)","1359","Tindivanam","33","Tamil Nadu","607","Viluppuram","Green Gram Dal","6732","6732","6732"
"2024-05-20","Green Gram Dal (Moong Dal)","1359","Tindivanam","33","Tamil Nadu","607","Viluppuram","Green Gram Dal","5500","6400","6000"
"2024-05-14","Green Gram Dal (Moong Dal)","1359","Tindivanam","33","Tamil Nadu","607","Viluppuram","Green Gram Dal","6000","7100","6500"
"2024-05-10","Green Gram Dal (Moong Dal)","2814","Cheyyar","33","Tamil Nadu","606","Tiruvannamalai","Green Gram Dal","6529","7398","7059"
"2025-10-30","Green Gram Dal (Moong Dal)","781","Shimoga","29","Karnataka","568","Shimoga","Green Gram Dal","9800","10300","10050"
"2025-10-29","Green Gram Dal (Moong Dal)","781","Shimoga","29","Karnataka","568","Shimoga","Green Gram Dal","9800","10300","10050"
"2025-10-29","Green Gram Dal (Moong Dal)","763","Hassan","29","Karnataka","574","Hassan","Green Gram Dal","19473","19473","19473"
"2025-10-28","Green Gram Dal (Moong Dal)","781","Shimoga","29","Karnataka","568","Shimoga","Green Gram Dal","9800","10300","10050"
"2025-10-28","Green Gram Dal (Moong Dal)","123","Mysore (Bandipalya)","29","Karnataka","577","Mysore","Green Gram Dal","7000","7000","7000"
"2025-10-27","Green Gram Dal (Moong Dal)","781","Shimoga","29","Karnataka","568","Shimoga","Green Gram Dal","9700","10300","10000"
"2025-10-24","Green Gram Dal (Moong Dal)","781","Shimoga","29","Karnataka","568","Shimoga","Green Gram Dal","9800","10300","10050"
"2025-10-21","Green Gram Dal (Moong Dal)","781","Shimoga","29","Karnataka","568","Shimoga","Green Gram Dal","9800","10300","10050"
"2025-10-18","Green Gram Dal (Moong Dal)","772","Bangarpet","29","Karnataka","581","Kolar","Green Gram Dal","9000","10000","9500"
"2025-10-18","Green Gram Dal (Moong Dal)","781","Shimoga","29","Karnataka","568","Shimoga","Green Gram Dal","9800","10300","10050"
"2025-10-17","Green Gram Dal (Moong Dal)","781","Shimoga","29","Karnataka","568","Shimoga","Green Gram Dal","9800","10300","10050"
"2025-10-16","Green Gram Dal (Moong Dal)","781","Shimoga","29","Karnataka","568","Shimoga","Green Gram Dal","9800","10300","10050"
"2025-10-15","Green Gram Dal (Moong Dal)","781","Shimoga","29","Karnataka","568","Shimoga","Green Gram Dal","9800","10300","10050"
"2025-10-14","Green Gram Dal (Moong Dal)","123","Mysore (Bandipalya)","29","Karnataka","577","Mysore","Green Gram Dal","9000","9000","9000"
