t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2025-10-30","Groundnut","10154","Cuddalore(Uzhavar Sandhai )","33","Tamil Nadu","617","Cuddalore","Big (With Shell)","6000","7000","7000"
"2025-10-30","Groundnut","10173","Periyar Nagar(Uzhavar Sandhai )","33","Tamil Nadu","610","Erode","Big (With Shell)","4500","5000","5000"
"2025-10-30","Groundnut","10191","Chokkikulam(Uzhavar Sandhai )","33","Tamil Nadu","623","Madurai","Big (With Shell)","6000","7000","7000"
"2025-10-30","Groundnut","10195","Melur(Uzhavar Sandhai )","33","Tamil Nadu","623","Madurai","Big (With Shell)","6000","7000","7000"
"2025-10-30","Groundnut","10196","Anaiyur(Uzhavar Sandhai )","33","Tamil Nadu","623","Madurai","Big (With Shell)","6000","7000","7000"
"2025-10-30","Groundnut","10210","Perambalur(Uzhavar Sandhai )","33","Tamil Nadu","615","Perambalur","Big (With Shell)","8000","8000","8000"
"2025-10-30","Groundnut","10269","Tiruvannamalai(Uzhavar Sandhai )","33","Tamil Nadu","606","Tiruvannamalai","Big (With Shell)","7000","8000","8000"
"2025-10-30","Groundnut","10270","Polur(Uzhavar Sandhai )","33","Tamil Nadu","606","Tiruvannamalai","Big (With Shell)","4200","5000","5000"
"2025-10-30","Groundnut","10276","Tamarainagar(Uzhavar Sandhai )","33","Tamil Nadu","606","Tiruvannamalai","Big (With Shell)","6000","7000","7000"
"2025-10-30","Groundnut","10260","Tiruthuraipoondi(Uzhavar Sandhai )","33","Tamil Nadu","619","Thiruvarur","Big (With Shell)","6000","6000","6000"
"2025-10-30","Groundnut","1359","Tindivanam","33","Tamil Nadu","607","Viluppuram","Big (With Shell)","5000","5000","5000"
"2025-10-30","Groundnut","10291","Gingee(Uzhavar Sandhai )","33","Tamil Nadu","607","Viluppuram","Big (With Shell)","6000","6000","6000"
