t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2025-10-30","Maize","10161","Palacode(Uzhavar Sandhai )","33","Tamil Nadu","630","Dharmapuri","Deshi Red","1800","2000","2000"
"2025-10-30","Maize","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Deshi Red","3500","4000","4000"
"2025-10-30","Maize","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Deshi Red","2000","2500","2500"
"2025-10-30","Maize","10185","Hosur(Uzhavar Sandhai )","33","Tamil Nadu","631","Krishnagiri","Deshi Red","2500","3000","3000"
"2025-10-30","Maize","10191","Chokkikulam(Uzhavar Sandhai )","33","Tamil Nadu","623","Madurai","Deshi Red","2000","2400","2400"
"2025-10-30","Maize","10221","Sooramangalam(Uzhavar Sandhai )","33","Tamil Nadu","608","Salem","Deshi Red","2500","2500","2500"
"2025-10-30","Maize","10222","Ammapet(Uzhavar Sandhai )","33","Tamil Nadu","608","Salem","Deshi Red","2000","2500","2500"
"2025-10-30","Maize","10224","Thathakapatti(Uzhavar Sandhai )","33","Tamil Nadu","608","Salem","Deshi Red","2000","2500","2500"
"2025-10-30","Maize","10225","Mettur(Uzhavar Sandhai )","33","Tamil Nadu","608","Salem","Deshi Red","2500","2500","2500"
"2025-10-30","Maize","10269","Tiruvannamalai(Uzhavar Sandhai )","33","Tamil Nadu","606","Tiruvannamalai","Deshi Red","3500","4000","4000"
"2025-10-30","Maize","3689","Tiruchengode","33","Tamil Nadu","609","Namakkal","Deshi Red","2500","3000","3000"
"2025-10-30","Maize","10147","Singanallur(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Deshi Red","2000","2500","2500"
"2025-10-30","Maize","10159","Dharmapuri(Uzhavar Sandhai )","33","Tamil Nadu","630","Dharmapuri","Deshi Red","1800","2000","2000"
"2025-10-30","Maize","10200","Namakkal(Uzhavar Sandhai )","33","Tamil Nadu","609","Namakkal","Deshi Red","2500","2800","2800"
"2025-10-30","Maize","10196","Anaiyur(Uzhavar Sandhai )","33","Tamil Nadu","623","Madurai","Deshi Red","1600","2400","2400"
"2025-10-30","Maize","10203","Kumarapalayam(Uzhavar Sandhai )","33","Tamil Nadu","609","Namakkal","Deshi Red","2000","3000","3000"
"2025-10-30","Maize","10202","Rasipuram(Uzhavar Sandhai )","33","Tamil Nadu","609","Namakkal","Deshi Red","2500","3000","3000"
"2025-10-30","Maize","10267","Tuticorin(Uzhavar Sandhai )","33","Tamil Nadu","627","Thoothukkudi","Deshi Red","2500","3000","3000"
"2025-10-30","Maize","10273","Chengam(Uzhavar Sandhai )","33","Tamil Nadu","606","Tiruvannamalai","Deshi Red","3600","4000","4000"
"2025-10-30","Maize","1623","Vellore","33","Tamil Nadu","605","Vellore","Deshi Red","2500","2500","2500"
"2025-10-30","Maize","2798","Thirupathur","33","Tamil Nadu","605","Vellore","Deshi Red","3000","3000","3000"
"2025-10-30","Maize","10314","Ranipettai(Uzhavar Sandhai )","33","Tamil Nadu","605","Vellore","Deshi Red","3000","3000","3000"
"2025-10-30","Maize","10313","Sankarapuram(Uzhavar Sandhai )","33","Tamil Nadu","607","Viluppuram","Deshi Red","3000","3000","3000"
"2025-10-30","Maize","10311","Kallakurichi(Uzhavar Sandhai )","33","Tamil Nadu","607","Viluppuram","Deshi Red","3000","3000","3000"
"2025-10-30","Maize","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Deshi Red","3000","3500","3500"
"2025-10-30","Maize","10318","Vaniyampadi(Uzhavar Sandhai )","33","Tamil Nadu","605","Vellore","Deshi Red","2500","3000","3000"
"2025-10-30","Maize","10276","Tamarainagar(Uzhavar Sandhai )","33","Tamil Nadu","606","Tiruvannamalai","Deshi Red","2500","3000","3000"
"2025-10-30","Maize","10302","Pallavaram(Uzhavar Sandhai )","33","Tamil Nadu","604","Kancheepuram","Deshi Red","3500","4000","4000"
"2025-10-30","Maize","10308","Jameenrayapettai(Uzhavar Sandhai )","33","Tamil Nadu","604","Kancheepuram","Deshi Red","3500","4000","4000"
"2025-10-30","Maize","1359","Tindivanam","33","Tamil Nadu","607","Viluppuram","Deshi Red","3800","3800","3800"
"2025-10-30","Maize","10172","Sathiyamagalam(Uzhavar Sandhai )","33","Tamil Nadu","610","Erode","Deshi Red","2000","2400","2400"
"2025-10-30","Maize","10173","Periyar Nagar(Uzhavar Sandhai )","33","Tamil Nadu","610","Erode","Deshi Red","1500","2000","2000"
"2025-10-30","Maize","10165","Palani(Uzhavar Sandhai )","33","Tamil Nadu","612","Dindigul","Deshi Red","2500","3000","3000"
"2025-10-30","Maize","10212","Pudukottai(Uzhavar Sandhai )","33","Tamil Nadu","621","Pudukkottai","Deshi Red","2000","3000","3000"
"2025-10-30","Maize","10186","Krishnagiri(Uzhavar Sandhai )","33","Tamil Nadu","631","Krishnagiri","Deshi Red","3000","3500","3500"
"2025-10-30","Maize","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Deshi Red","2000","2500","2500"
"2025-10-30","Maize","10183","Pallapatti (Uzhavar Sandhai )","33","Tamil Nadu","613","Karur","Deshi Red","3500","4000","4000"
"2025-10-30","Maize","10230","Jalagandapuram(Uzhavar Sandhai )","33","Tamil Nadu","608","Salem","Deshi Red","2500","3000","3000"
"2025-10-30","Maize","10227","Hasthampatti(Uzhavar Sandhai )","33","Tamil Nadu","608","Salem","Deshi Red","2500","2500","2500"
"2025-10-29","Maize","10227","Hasthampatti(Uzhavar Sandhai )","33","Tamil Nadu","608","Salem","Deshi Red","2000","2500","2500"
"2025-10-29","Maize","10212","Pudukottai(Uzhavar Sandhai )","33","Tamil Nadu","621","Pudukkottai","Deshi Red","2000","3000","3000"
"2025-10-29","Maize","10152","Vadavalli(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Deshi Red","2000","2500","2500"
"2025-10-29","Maize","10186","Krishnagiri(Uzhavar Sandhai )","33","Tamil Nadu","631","Krishnagiri","Deshi Red","3000","3500","3500"
"2025-10-29","Maize","10185","Hosur(Uzhavar Sandhai )","33","Tamil Nadu","631","Krishnagiri","Deshi Red","2500","3000","3000"
"2025-10-29","Maize","10230","Jalagandapuram(Uzhavar Sandhai )","33","Tamil Nadu","608","Salem","Deshi Red","2500","3000","3000"
"2025-10-29","Maize","3689","Tiruchengode","33","Tamil Nadu","609","Namakkal","Deshi Red","2500","3000","3000"
"2025-10-29","Maize","10223","Athur(Uzhavar Sandhai )","33","Tamil Nadu","608","Salem","Deshi Red","2500","3000","3000"
"2025-10-29","Maize","10273","Chengam(Uzhavar Sandhai )","33","Tamil Nadu","606","Tiruvannamalai","Deshi Red","2500","3000","3000"
"2025-10-29","Maize","10269","Tiruvannamalai(Uzhavar Sandhai )","33","Tamil Nadu","606","Tiruvannamalai","Deshi Red","2500","3000","3000"
"2025-10-29","Maize","10224","Thathakapatti(Uzhavar Sandhai )","33","Tamil Nadu","608","Salem","Deshi Red","2500","2500","2500"
"2025-10-29","Maize","10221","Sooramangalam(Uzhavar Sandhai )","33","Tamil Nadu","608","Salem","Deshi Red","2000","2500","2500"
"2025-10-29","Maize","10276","Tamarainagar(Uzhavar Sandhai )","33","Tamil Nadu","606","Tiruvannamalai","Deshi Red","2000","2500","2500"
"2025-10-29","Maize","10202","Rasipuram(Uzhavar Sandhai )","33","Tamil Nadu","609","Namakkal","Deshi Red","2500","3000","3000"
"2025-10-29","Maize","10222","Ammapet(Uzhavar Sandhai )","33","Tamil Nadu","608","Salem","Deshi Red","2400","2500","2500"
"2025-10-29","Maize","1102","Udumalpet","33","Tamil Nadu","632","Coimbatore","Deshi Red","3000","3500","3500"
"2025-10-29","Maize","10200","Namakkal(Uzhavar Sandhai )","33","Tamil Nadu","609","Namakkal","Deshi Red","2500","2800","2800"
"2025-10-29","Maize","10203","Kumarapalayam(Uzhavar Sandhai )","33","Tamil Nadu","609","Namakkal","Deshi Red","2000","3000","3000"
"2025-10-29","Maize","10196","Anaiyur(Uzhavar Sandhai )","33","Tamil Nadu","623","Madurai","Deshi Red","1600","2400","2400"
"2025-10-29","Maize","10163","AJattihalli(Uzhavar Sandhai )","33","Tamil Nadu","630","Dharmapuri","Deshi Red","1800","2000","2000"
"2025-10-29","Maize","10161","Palacode(Uzhavar Sandhai )","33","Tamil Nadu","630","Dharmapuri","Deshi Red","1800","2000","2000"
"2025-10-29","Maize","10313","Sankarapuram(Uzhavar Sandhai )","33","Tamil Nadu","607","Viluppuram","Deshi Red","3000","3000","3000"
"2025-10-29","Maize","10146","RSPuram(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Deshi Red","2000","2500","2500"
"2025-10-29","Maize","10149","Mettupalayam(Uzhavar Sandhai )","33","Tamil Nadu","632","Coimbatore","Deshi Red","3600","4000","4000"
"2025-10-29","Maize","10311","Kallakurichi(Uzhavar Sandhai )","33","Tamil Nadu","607","Viluppuram","Deshi Red","3000","3000","3000"
"2025-10-29","Maize","10160","Pennagaram(Uzhavar Sandhai )","33","Tamil Nadu","630","Dharmapuri","Deshi Red","1800","2000","2000"
"2025-10-29","Maize","10159","Dharmapuri(Uzhavar Sandhai )","33","Tamil Nadu","630","Dharmapuri","Deshi Red","1800","2000","2000"
"2025-10-29","Maize","10172","Sathiyamagalam(Uzhavar Sandhai )","33","Tamil Nadu","610","Erode","Deshi Red","2000","2400","2400"
"2025-10-29","Maize","10173","Periyar Nagar(Uzhavar Sandhai )","33","Tamil Nadu","610","Erode","Deshi Red","1500","2000","2000"
"2025-10-29","Maize","2798","Thirupathur","33","Tamil Nadu","605","Vellore","Deshi Red","3000","3000","3000"
"2025-10-29","Maize","10314","Ranipettai(Uzhavar Sandhai )","33","Tamil Nadu","605","Vellore","Deshi Red","3000","3000","3000"
"2025-10-29","Maize","10267","Tuticorin(Uzhavar Sandhai )","33","Tamil Nadu","627","Thoothukkudi","Deshi Red","2500","3000","3000"
"2025-10-29","Maize","10183","Pallapatti (Uzhavar Sandhai )","33","Tamil Nadu","613","Karur","Deshi Red","3500","4000","4000"
"2025-10-29","Maize","10318","Vaniyampadi(Uzhavar Sandhai )","33","Tamil Nadu","605","Vellore","Deshi Red","3000","3000","3000"
"2025-10-29","Maize","10225","Mettur(Uzhavar Sandhai )","33","Tamil Nadu","608","Salem","Deshi Red","2000","2500","2500"
"2025-10-29","Maize","10191","Chokkikulam(Uzhavar Sandhai )","33","Tamil Nadu","623","Madurai","Deshi Red","2000","2400","2400"
