t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2025-10-30","Paddy(Dhan)(Common)","1859","Monday Market","33","Tamil Nadu","629","Kanniyakumari","Other","2000","2300","2100"
"2025-10-30","Paddy(Dhan)(Common)","1632","Tirunelvali","33","Tamil Nadu","628","Tirunelveli","Other","2000","2600","2300"
"2025-10-30","Paddy(Dhan)(Common)","310","Rajapalayam","33","Tamil Nadu","625","Virudhunagar","Other","2000","2200","2100"
"2025-10-30","Paddy(Dhan)(Common)","3710","Aranthangi","33","Tamil Nadu","621","Pudukkottai","B P T","3064","3380","3106"
"2025-10-30","Paddy(Dhan)(Common)","8290","Thirupoondi","33","Tamil Nadu","618","Nagapattinam","B P T","2000","2100","2050"
"2025-10-30","Paddy(Dhan)(Common)","3682","Shrimushnam","33","Tamil Nadu","617","Cuddalore","B P T","1852","1991","1892"
"2025-10-30","Paddy(Dhan)(Common)","1360","Sangarapuram","33","Tamil Nadu","607","Viluppuram","Other","1620","1895","1820"
"2025-10-30","Paddy(Dhan)(Common)","1103","Avalurpet","33","Tamil Nadu","607","Viluppuram","Other","1040","2671","1600"
"2025-10-30","Paddy(Dhan)(Common)","307","Villupuram","33","Tamil Nadu","607","Viluppuram","Other","1555","2045","1800"
"2025-10-30","Paddy(Dhan)(Common)","3663","Desur","33","Tamil Nadu","606","Tiruvannamalai","ADT 37","2213","2385","2299"
"2025-10-30","Paddy(Dhan)(Common)","2814","Cheyyar","33","Tamil Nadu","606","Tiruvannamalai","Other","1345","2475","2013"
"2025-10-30","Paddy(Dhan)(Common)","297","Chethupattu","33","Tamil Nadu","606","Tiruvannamalai","ADT 37","2132","2327","2252"
"2025-10-30","Paddy(Dhan)(Common)","2798","Thirupathur","33","Tamil Nadu","605","Vellore","Other","2000","2200","2100"
"2025-10-30","Paddy(Dhan)(Common)","1623","Vellore","33","Tamil Nadu","605","Vellore","Other","1939","2501","2320"
"2025-10-30","Paddy(Dhan)(Common)","1104","Ammoor","33","Tamil Nadu","605","Vellore","Other","2141","2656","2478"
"2025-10-29","Paddy(Dhan)(Common)","2796","Tiruttani","33","Tamil Nadu","604","Kancheepuram","Other","1800","2000","1900"
"2025-10-29","Paddy(Dhan)(Common)","1104","Ammoor","33","Tamil Nadu","605","Vellore","Other","1533","2701","2350"
"2025-10-29","Paddy(Dhan)(Common)","1632","Tirunelvali","33","Tamil Nadu","628","Tirunelveli","Other","2000","2600","2300"
"2025-10-29","Paddy(Dhan)(Common)","3710","Aranthangi","33","Tamil Nadu","621","Pudukkottai","B P T","3064","3350","3106"
"2025-10-29","Paddy(Dhan)(Common)","8292","Papanasam","33","Tamil Nadu","620","Thanjavur","Other","2000","2500","2250"
"2025-10-29","Paddy(Dhan)(Common)","3713","Kuttulam","33","Tamil Nadu","618","Nagapattinam","B P T","1950","2050","2000"
"2025-10-29","Paddy(Dhan)(Common)","3725","Manachanallur","33","Tamil Nadu","614","Tiruchirappalli","Other","1600","2450","2400"
"2025-10-29","Paddy(Dhan)(Common)","1846","Vikkiravandi","33","Tamil Nadu","607","Viluppuram","ADT 37","948","1600","1159"
"2025-10-29","Paddy(Dhan)(Common)","1360","Sangarapuram","33","Tamil Nadu","607","Viluppuram","Other","1708","2225","1848"
"2025-10-29","Paddy(Dhan)(Common)","1103","Avalurpet","33","Tamil Nadu","607","Viluppuram","Other","1000","2679","1600"
"2025-10-29","Paddy(Dhan)(Common)","307","Villupuram","33","Tamil Nadu","607","Viluppuram","Other","1540","1559","1549"
"2025-10-29","Paddy(Dhan)(Common)","305","Thirukovilur","33","Tamil Nadu","607","Viluppuram","ADT 37","1893","2040","1973"
"2025-10-29","Paddy(Dhan)(Common)","3663","Desur","33","Tamil Nadu","606","Tiruvannamalai","ADT 37","2132","2361","2247"
"2025-10-29","Paddy(Dhan)(Common)","2814","Cheyyar","33","Tamil Nadu","606","Tiruvannamalai","Other","1719","2148","2000"
"2025-10-29","Paddy(Dhan)(Common)","297","Chethupattu","33","Tamil Nadu","606","Tiruvannamalai","ADT 37","1479","2319","2039"
"2025-10-29","Paddy(Dhan)(Common)","1623","Vellore","33","Tamil Nadu","605","Vellore","Other","1585","2568","2107"
"2025-10-28","Paddy(Dhan)(Common)","309","Ulundurpettai","33","Tamil Nadu","607","Viluppuram","Other","1835","2081","1880"
"2025-10-28","Paddy(Dhan)(Common)","3616","Sankarankovil","33","Tamil Nadu","628","Tirunelveli","Other","2000","2400","2200"
"2025-10-28","Paddy(Dhan)(Common)","1632","Tirunelvali","33","Tamil Nadu","628","Tirunelveli","Other","2000","2600","2300"
"2025-10-28","Paddy(Dhan)(Common)","298","Madurai","33","Tamil Nadu","623","Madurai","Other","1100","1500","1300"
"2025-10-28","Paddy(Dhan)(Common)","1362","Panruti","33","Tamil Nadu","617","Cuddalore","Other","1421","1421","1421"
"2025-10-28","Paddy(Dhan)(Common)","671","Cuddalore","33","Tamil Nadu","617","Cuddalore","Other","1372","1617","1617"
"2025-10-28","Paddy(Dhan)(Common)","1844","Thiryagadurgam","33","Tamil Nadu","607","Viluppuram","Other","2027","2027","2027"
"2025-10-28","Paddy(Dhan)(Common)","1360","Sangarapuram","33","Tamil Nadu","607","Viluppuram","Other","1720","2027","1795"
"2025-10-28","Paddy(Dhan)(Common)","1103","Avalurpet","33","Tamil Nadu","607","Viluppuram","Other","1133","2593","1600"
"2025-10-28","Paddy(Dhan)(Common)","307","Villupuram","33","Tamil Nadu","607","Viluppuram","Other","1719","1976","1848"
"2025-10-28","Paddy(Dhan)(Common)","304","Gingee","33","Tamil Nadu","607","Viluppuram","Other","1347","3177","2587"
"2025-10-28","Paddy(Dhan)(Common)","3663","Desur","33","Tamil Nadu","606","Tiruvannamalai","ADT 37","2212","2320","2266"
"2025-10-28","Paddy(Dhan)(Common)","1110","Polur(Thiruvannamalai)","33","Tamil Nadu","606","Tiruvannamalai","ADT 37","1905","1933","1919"
"2025-10-28","Paddy(Dhan)(Common)","297","Chethupattu","33","Tamil Nadu","606","Tiruvannamalai","ADT 37","1876","2305","2265"
"2025-10-28","Paddy(Dhan)(Common)","1623","Vellore","33","Tamil Nadu","605","Vellore","Other","1535","2547","2172"
"2025-10-28","Paddy(Dhan)(Common)","1104","Ammoor","33","Tamil Nadu","605","Vellore","Other","1478","2714","2177"
"2025-10-27","Paddy(Dhan)(Common)","708","Vadaseri","33","Tamil Nadu","629","Kanniyakumari","Other","1950","2450","2100"
"2025-10-27","Paddy(Dhan)(Common)","1632","Tirunelvali","33","Tamil Nadu","628","Tirunelveli","Other","2000","2600","2300"
