t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2025-10-30","Sugarcane","2767","Kusmee","22","Chhattisgarh","401","Surguja","Sugarcane","350","350","350"
"2025-10-30","Sugarcane","2769","Manendragarh","22","Chhattisgarh","400","Koriya","Sugarcane","350","350","350"
"2025-10-30","Sugarcane","2763","Ramanujganj","22","Chhattisgarh","401","Surguja","Sugarcane","355","360","355"
"2025-10-29","Sugarcane","2769","Manendragarh","22","Chhattisgarh","400","Koriya","Sugarcane","350","350","350"
"2025-10-28","Sugarcane","2765","Pratappur","22","Chhattisgarh","401","Surguja","Sugarcane","310","310","310"
"2025-10-24","Sugarcane","2766","Surajpur","22","Chhattisgarh","401","Surguja","Sugarcane","350","350","350"
"2025-10-23","Sugarcane","2766","Surajpur","22","Chhattisgarh","401","Surguja","Sugarcane","350","350","350"
"2025-10-22","Sugarcane","2766","Surajpur","22","Chhattisgarh","401","Surguja","Sugarcane","350","350","350"
"2025-10-21","Sugarcane","2766","Surajpur","22","Chhattisgarh","401","Surguja","Sugarcane","350","350","350"
"2025-09-30","Sugarcane","2769","Manendragarh","22","Chhattisgarh","400","Koriya","Sugarcane","300","300","300"
"2025-09-30","Sugarcane","2766","Surajpur","22","Chhattisgarh","401","Surguja","Sugarcane","350","350","350"
"2025-09-26","Sugarcane","2748","Pandariya","22","Chhattisgarh","407","Kabeerdham","Sugarcane","255","255","255"
"2025-09-22","Sugarcane","2766","Surajpur","22","Chhattisgarh","401","Surguja","Sugarcane","350","350","350"
"2025-09-21","Sugarcane","2766","Surajpur","22","Chhattisgarh","401","Surguja","Sugarcane","300","300","300"
"2025-09-16","Sugarcane","2766","Surajpur","22","Chhattisgarh","401","Surguja","Sugarcane","350","350","350"
"2025-08-31","Sugarcane","2760","Pathalgaon","22","Chhattisgarh","402","Jashpur","Sugarcane","200","200","200"
"2025-08-30","Sugarcane","2769","Manendragarh","22","Chhattisgarh","400","Koriya","Sugarcane","350","350","350"
"2025-08-28","Sugarcane","2765","Pratappur","22","Chhattisgarh","401","Surguja","Sugarcane","310","310","310"
"2025-08-27","Sugarcane","2765","Pratappur","22","Chhattisgarh","401","Surguja","Sugarcane","310","310","310"
"2025-08-26","Sugarcane","2765","Pratappur","22","Chhattisgarh","401","Surguja","Sugarcane","310","310","310"
"2025-08-25","Sugarcane","2765","Pratappur","22","Chhattisgarh","401","Surguja","Sugarcane","310","310","310"
