t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2025-10-30","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-10-29","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-10-28","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-10-27","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-10-25","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-10-17","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-10-16","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-10-15","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-10-14","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-10-13","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-10-11","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-10-09","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-10-08","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-10-08","Arhar Dal (Tur Dal)","1818","Deoulgaon Raja","27","Maharashtra","500","Buldana","Other","5400","5400","5400"
"2025-10-07","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-10-06","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-10-03","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-10-01","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-09-30","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-09-29","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-09-27","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12500","10700"
"2025-09-26","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-09-24","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-09-23","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-09-18","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-09-17","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-09-16","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-09-15","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-09-13","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-09-12","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-09-11","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-09-10","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-09-09","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-09-08","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-09-05","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-09-04","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-09-03","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-09-02","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-09-01","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-08-29","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-08-28","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-08-26","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-08-25","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
"2025-08-23","Arhar Dal (Tur Dal)","162","Mumbai","27","Maharashtra","519","Mumbai","Other","8400","12000","10700"
